Date,Category,Subcategory,Description,Amount (RM),Person,Payment Method,Month
2025-10-01,Food & Dining,Breakfast,Nasi Lemak at Warung Mak Cik,5.50,Sarah,Cash,Oct 2025
2025-10-02,Transportation,Fuel,Petrol at Shell Station,80.00,Alex,Credit Card,Oct 2025
2025-10-03,Food & Dining,Lunch,Lunch at Mamak,12.50,Sarah,Cash,Oct 2025
2025-10-04,Shopping & Clothing,Clothing,H&M Summer Collection,189.90,Sarah,Credit Card,Oct 2025
2025-10-05,Utilities,Internet,Unifi Monthly Subscription,89.00,Alex,Auto Debit,Oct 2025
2025-10-06,Entertainment,Movies,Cinema Tickets x2,38.00,Alex,E-Wallet,Oct 2025
2025-10-07,Food & Dining,Groceries,Weekly Groceries at Jaya Grocer,156.40,Sarah,E-Wallet,Oct 2025
2025-10-08,Healthcare,Pharmacy,Cold Medicine at Guardian,45.60,Sarah,Cash,Oct 2025
2025-10-09,Transportation,Grab,Grab to KLCC,22.00,Alex,E-Wallet,Oct 2025
2025-10-10,Subscriptions,Streaming,Netflix Monthly,55.00,Alex,Credit Card,Oct 2025
2025-10-11,Food & Dining,Dinner,Dinner at Chilis,98.70,Sarah,Credit Card,Oct 2025
2025-10-12,Personal Care,Haircare,Shampoo & Conditioner,67.80,Sarah,Cash,Oct 2025
2025-10-13,Education,Books,Programming Book,75.00,Alex,Online Transfer,Oct 2025
2025-10-14,Housing,Utilities,Electricity Bill,220.50,Alex,Online Transfer,Oct 2025
2025-10-15,Food & Dining,Snacks,Boba Tea & Snacks,28.00,Sarah,E-Wallet,Oct 2025
2025-10-16,Travel,Parking,Monthly Parking Fee,150.00,Alex,Cash,Oct 2025
2025-10-17,Home & Garden,Cleaning,Cleaning Supplies,43.20,Sarah,Cash,Oct 2025
2025-10-18,Gifts & Donations,Gift,Birthday Gift for Friend,120.00,Sarah,Credit Card,Oct 2025
2025-10-19,Food & Dining,Breakfast,McDonalds Breakfast,18.50,Alex,E-Wallet,Oct 2025
2025-10-20,Transportation,Toll,Touch n Go Reload,50.00,Alex,E-Wallet,Oct 2025
2025-10-21,Subscriptions,Music,Spotify Premium,17.00,Sarah,Credit Card,Oct 2025
2025-10-22,Healthcare,Dental,Dental Check-up,180.00,Alex,Credit Card,Oct 2025
2025-10-23,Food & Dining,Lunch,Korean BBQ Lunch,85.00,Sarah,Credit Card,Oct 2025
2025-10-24,Personal Care,Skincare,SK-II Toner,299.00,Sarah,Credit Card,Oct 2025
2025-10-25,Savings,Emergency Fund,Monthly Savings Transfer,500.00,Alex,Bank Transfer,Oct 2025
2025-10-26,Food & Dining,Dinner,Steamboat with Family,210.00,Alex,Credit Card,Oct 2025
2025-10-27,Shopping & Clothing,Electronics,Phone Case & Screen Protector,65.00,Alex,E-Wallet,Oct 2025
2025-10-28,Pet Care,Food,Cat Food (2 bags),89.00,Sarah,E-Wallet,Oct 2025
2025-10-29,Utilities,Water,Water Bill,35.80,Alex,Online Transfer,Oct 2025
2025-10-30,Entertainment,Games,Steam Game Purchase,59.00,Alex,Credit Card,Oct 2025
2025-10-31,Food & Dining,Groceries,Monthly Stock-up at AEON,287.60,Sarah,Credit Card,Oct 2025
2025-11-01,Food & Dining,Breakfast,Roti Canai & Teh Tarik,7.50,Alex,Cash,Nov 2025
2025-11-02,Transportation,Fuel,Petrol at BHPetrol,75.00,Alex,Credit Card,Nov 2025
